75,Fiber, yarn, and thread mills
76,Broadwoven fabric mills
77,Narrow fabric mills and schiffli embroidery
78,Nonwoven fabric mills
79,Knit fabric mills
8,Cotton farming
80,Textile and fabric finishing mills
81,Fabric coating mills
82,Carpet and rug mills
83,Curtain and linen mills
84,Textile bag and canvas mills
85,All other miscellaneous textile product mills
86,Hosiery and sock mills
87,Cut and sew apparel contractors
88,Men's and boys' cut and sew apparel manufacturing
89,Women's and girls' cut and sew apparel manufacturing
9,Sugarcane and sugar beet farming
90,Other cut and sew apparel manufacturing
91,Accessories and other apparel manufacturing
92,Leather and hide tanning and finishing
93,Footwear manufacturing
94,Other leather and allied product manufacturing
95,Sawmills and wood preservation
96,Reconstituted wood product manufacturing
97,Veneer and plywood manufacturing
98,Engineered wood member and truss manufacturing
99,Wood windows and doors and millwork
